wavelength,mean_flux,median_flux,rms_flux,snr,n_spectra,mean_flux_smoothed
3208.0,14.327483110169144,13.422764213102305,3.140733581813947,4.56182695441943,117,14.141580876247676
3212.0,14.221905127668284,13.479725115498828,3.13441145302209,4.537344678841069,117,14.131751697729324
3216.0,14.038839833870291,13.19105752592096,2.7370213264263543,5.129240206615554,117,14.200335456861161
3220.0,14.085993968782835,13.148564538509476,2.6573948478721943,5.300677834933581,118,14.206234351339534
3224.0,14.327455243815272,13.465978375142996,2.9944196221245307,4.784718593865609,120,14.142690365919375
3228.0,14.356977582561,13.765352190515788,2.9702296818063174,4.833625382744791,121,14.150702451042504
3232.0,13.904185200567497,13.082738265849208,2.8198583072570984,4.9308098796255555,124,14.166880905416567
3236.0,14.078900259485923,13.335210459798862,3.1416584975637756,4.481359215332768,126,14.127876699286308
3240.0,14.166886240653168,13.645407715697472,2.9114314036725872,4.8659522675968025,130,14.022932761426642
3244.0,14.132434213163966,13.212042341408212,2.818109564018784,5.014863294743699,131,13.989986935248705
3248.0,13.83225789326268,13.05569500894618,2.714518276120687,5.095658413849522,131,13.959217533152746
3252.0,13.73945606967781,13.34410941710163,2.5002684731249714,5.495192303291131,130,13.837800835499534
3256.0,13.925053249006124,13.33494960220913,3.276820060243864,4.249562988811112,131,13.713149701263296
3260.0,13.559802752387109,12.779324341775428,2.9688350890057347,4.567381597786321,132,13.731146038524631
3264.0,13.509178541982775,12.981010874594764,3.1404194469852804,4.301711529315369,132,13.731954368538661
3268.0,13.92223957956936,12.866403184202,3.072258110125346,4.531598283908947,135,13.740256834196893
3272.0,13.743497719747952,13.223333786916148,2.6028244970366363,5.280224515865429,135,13.7114589153986
3276.0,13.966565577297288,13.146560197591278,3.38196624783859,4.1297176121208485,138,13.64585757887101
3280.0,13.415813158395634,12.642276775290943,2.518506669504678,5.326892051087624,138,13.479557478216222
3284.0,13.181171859344834,12.627377159968349,2.356579023880167,5.593350244475019,140,13.439794523397138
3288.0,13.090739076295415,12.415265065399115,2.5059790994488385,5.2238021774302,140,13.346397973218094
3292.0,13.544682945652536,12.883364346211742,2.906920950256031,4.659460362848728,141,13.37023415051538
3296.0,13.499582826402069,12.793120586348548,3.019820842471469,4.470325734739216,143,13.357526842536092
3300.0,13.534994044882067,12.603046682633607,2.7095741398901696,4.995247720156754,146,13.33620529657229
3304.0,13.117635319448397,12.581101091476665,2.8904808210849926,4.538219116958008,148,13.245403144688582
3308.0,12.984131346476405,12.298283952672463,2.862832536328963,4.535414203139551,148,13.184087702667007
3312.0,13.090672186233997,12.626473923557793,2.8484916148889297,4.595650595497518,151,13.076342989154794
3316.0,13.193005616294192,12.499499278639206,2.6222703689513627,5.0311385784258515,154,12.97486992207595
3320.0,12.996270477321008,12.4663073969451,2.735676172239666,4.750661137893785,159,12.948114792931335
3324.0,12.610269984054174,11.906743579412348,2.658241929808872,4.743838340162235,161,12.900436383240223
3328.0,12.850355700753328,12.483521206976672,2.466476645166269,5.210005019077351,162,12.815498191913605
3332.0,12.852280137778433,12.26545419183347,2.515008942443629,5.110232381635559,169,12.76482276252974
3336.0,12.7683146596611,12.295671718259369,2.9509447444115025,4.32685657155788,170,12.759735328627047
3340.0,12.742893330401682,12.305036302598449,3.0660128235646713,4.156177440766955,171,12.7571053433601
3344.0,12.584832814540704,12.198361577195891,2.5208466414070756,4.992304017159947,171,12.724281719320732
3348.0,12.8372057744186,12.161151397355146,2.8891539032788804,4.443240548677503,174,12.699772582271638
3352.0,12.68816201758159,12.179462637595844,2.709788893987245,4.682343353659531,176,12.734876353503417
3356.0,12.645768974415626,12.186937226920833,2.842736169692329,4.448449739809757,177,12.711079783788643
3360.0,12.918412186560584,12.327396536373,3.30516309443061,3.9085551355480317,177,12.632523561908709
3364.0,12.46584996596683,11.83313778228172,2.839917010595793,4.389512059492045,177,12.558284459440815
3368.0,12.44442466501893,11.673847830573504,2.630831198074109,4.730225441346762,180,12.510083892505754
3372.0,12.316966505242116,11.734303557834822,2.518770121332932,4.890071706394541,182,12.480834216060567
3376.0,12.404766139740335,12.255151475783084,2.6185530402596697,4.737259833587413,183,12.486638624245417
3380.0,12.772163804334635,12.219590928559196,2.3993346239804905,5.323210725457564,183,12.496605696176573
3384.0,12.494872006891084,12.02432616164516,2.319765017554054,5.38626624349461,186,12.51103093475102
