-662521172478928814 EUCL J042500.51-475334.4    66.252117   -47.892881 QSO       1.8391       2817          3       5.1001      -2.8439      14.7620                      0.681125640869140625      21.5147       0.0060      20.6804       0.0139      20.3996       0.0109      20.1718       0.0096
-662459752469777393 EUCL J042459.03-465839.9    66.245975   -46.977739 QSO       1.7360       2702          2       4.4178      -3.2067      12.0364                      0.946663737297058105      21.3838       0.0047      21.2788       0.0222      21.1077       0.0164      20.7649       0.0162
-662209347475376159 EUCL J042453.02-473215.4    66.220935   -47.537616 QSO       1.1850       2161          0       1.8450      -2.8629      18.9681 4788730858200792576  0.478365570306777954      20.8268       0.0043      20.5380       0.0165      20.1704       0.0117      20.1769       0.0121
-662184450481713565 EUCL J042452.43-481016.9    66.218445   -48.171357 QSO       1.7115       2478         22       6.8926      -2.8763      16.5412 4788683647920139392  0.736691117286682129      19.5767       0.0022      19.3799       0.0084      19.2750       0.0076      19.0979       0.0068
-662020555479999360 EUCL J042448.49-475959.8    66.202056   -47.999936 QSO       1.6026       2898          1       9.4431      -3.1132      14.2541 4788691722458696576                            19.7365       0.0030      19.5299       0.0094      19.4698       0.0078      19.2301       0.0075
-661838086470270499 EUCL J042444.11-470137.4    66.183809   -47.027050 QSO       1.8193       2442         12      15.5777      -3.2938      16.7948 4789305116804904192  0.979023158550262451      18.7379       0.0015      18.4323       0.0088      18.3797       0.0062      18.4616       0.0064
-661695121471131573 EUCL J042440.68-470647.4    66.169512   -47.113157 QSO       1.1850       2737          8       4.6799      -2.2017      34.4065                      0.123349808156490326      22.8193       0.0109      20.5687       0.0168      19.9608       0.0119      19.5392       0.0095
-661671375472021617 EUCL J042440.11-471207.8    66.167138   -47.202162 QSO       1.4882       2783         10       0.9492      -2.6955      13.9607 4789301367296941952  0.510298132896423340      21.7900       0.0060      21.4363       0.0226      21.0201       0.0176      20.7211       0.0146
-661646002472428236 EUCL J042439.50-471434.2    66.164600   -47.242824 QSO       1.6052       2343          0       5.9953      -2.7645      13.3796 4789301126778331776  0.816179394721984863      20.4125       0.0031      20.0585       0.0128      19.9699       0.0109      19.6942       0.0097
-661507680478447687 EUCL J042436.18-475041.2    66.150768   -47.844769 QSO       1.4171       2364          3      10.2831      -3.0886      16.0159 4788698044650591488  0.990816831588745117      18.9964       0.0015      19.0544       0.0075      19.1087       0.0069      18.9600       0.0062
-661495504473631852 EUCL J042435.89-472147.5    66.149550   -47.363185 QSO       1.1894       2764          0       3.4731      -3.1139      13.1052 4788922070144927232  0.864155769348144531      20.5933       0.0032      20.3719       0.0119      20.1486       0.0090      20.1590       0.0099
-661349933469516941 EUCL J042432.40-465706.1    66.134993   -46.951694 QSO       1.1750       2646          0      11.2280      -2.8945      19.4486 4789323117011407744  0.756622731685638428      20.1229       0.0031      19.4790       0.0110      19.3051       0.0070      19.2009       0.0069
-661343645476527882 EUCL J042432.25-473910.0    66.134365   -47.652788 QSO       1.6926       2583         43       9.2276      -3.0371      13.6970 4788910387833726848  0.955949306488037109      20.1187       0.0026      19.7176       0.0098      19.6322       0.0083      19.4059       0.0082
-661231747473690456 EUCL J042429.56-472208.6    66.123175   -47.369046 QSO       1.1959       2990          1       9.1467      -0.6433      61.5375                      0.053524062037467957      24.9843       0.0318      19.4763       0.0081      19.0403       0.0055      18.6457       0.0046
-661032222475803227 EUCL J042424.77-473449.2    66.103222   -47.580323 QSO       0.7241       2424         62      21.0703      -3.0522      22.3091 4788912380698587264  0.924969673156738281      19.2510       0.0020      18.4329       0.0061      18.4178       0.0053      18.1756       0.0050
-660987081486101326 EUCL J042423.69-483636.5    66.098708   -48.610133 QSO       0.8417       2161          5       9.3315      -0.5916      35.2325                                                                          19.4557       0.0135      19.0732       0.0096      18.6609       0.0083
-660970121475778652 EUCL J042423.28-473440.3    66.097012   -47.577865 QSO       2.1050       2408         15       8.2981      -3.0360      14.7388 4788913037830679040                            20.4624       0.0031      20.0593       0.0129      20.0996       0.0112      20.0589       0.0102
-660687402480631348 EUCL J042416.50-480347.3    66.068740   -48.063135 QSO       2.3548       2251          6      11.8323      -2.9229      14.4227 4788688050263823488                            19.6295       0.0021      19.2591       0.0083      19.3057       0.0076      19.3178       0.0080
-660630243480825594 EUCL J042415.13-480457.2    66.063024   -48.082559 QSO       0.6209       2320          0      15.1952      -1.7912      61.3642 4788688011606935680  0.111713111400604248      21.0568       0.0041      18.8669       0.0067      18.6600       0.0045      18.3236       0.0040
-660491571477795776 EUCL J042411.80-474646.5    66.049157   -47.779578 QSO       1.6052       2294          0       5.7945      -2.9141      14.2441 4788885751901499264  0.744788110256195068      20.5949       0.0037      20.3257       0.0135      20.2677       0.0112      19.9837       0.0102
-660446101484630883 EUCL J042410.71-482747.1    66.044610   -48.463088 QSO       1.6078       2470          2       2.8016      -2.9635      10.6235                      0.213723585009574890      21.7394       0.0116      21.0159       0.0191      20.8449       0.0163      20.4617       0.0133
-660305201484263010 EUCL J042407.32-482534.7    66.030520   -48.426301 QSO       2.2240       2424          5      12.0176      -2.8299      19.2290 4788585898761226624                            19.5869       0.0031      18.8617       0.0077      18.7706       0.0068      18.8097       0.0057
-660256380474711664 EUCL J042406.15-472816.2    66.025638   -47.471166 QSO       1.3108       2291          0       3.3028      -2.9703      15.9443 4788916954839748864  0.820809483528137207      20.9111       0.0037      20.5422       0.0149      20.2991       0.0129      20.2617       0.0111
-660205029478881465 EUCL J042404.92-475317.3    66.020503   -47.888147 QSO       1.0826       2624          0       4.3124      -2.9327      16.1509 4788883862115630208  0.794012010097503662      20.6647       0.0033      20.4612       0.0116      20.2228       0.0095      20.0836       0.0097
-660144415482148281 EUCL J042403.47-481253.4    66.014442   -48.214828 QSO       1.7060       3117          0     -11.2150      -3.1186      12.3180 4788685473282422656  0.881623208522796631      20.9845       0.0052      20.4545       0.0127      20.2829       0.0108      20.0010       0.0104
